,Pair,RC,IRS,STS,VTS,RRS,SD,TD
414,"(24, 25)",75,30.95238095,0,0,75,1,144
415,"(24, 26)",60,29.16666667,15,15,100,2,184
416,"(24, 27)",65,30.95238095,15,20,100,1,189
417,"(24, 28)",80,29.16666667,5,10,100,2,451
418,"(24, 29)",80,43.75,0,0,100,2,435
419,"(24, 30)",75,15.47619048,35,40,100,1,204
420,"(25, 26)",75,13.39285714,20,35,75,1,40
421,"(25, 27)",70,14.28571429,20,35,75,0,45
422,"(25, 28)",75,26.78571429,0,5,75,1,307
423,"(25, 29)",75,13.39285714,0,10,75,1,291
424,"(25, 30)",80,14.28571429,10,15,75,0,60
425,"(26, 27)",95,93.75,100,100,100,1,5
426,"(26, 28)",80,62.5,5,10,100,0,267
427,"(26, 29)",80,75,5,10,100,0,251
428,"(26, 30)",55,26.78571429,60,60,100,1,20
429,"(27, 28)",85,66.96428571,5,10,100,1,262
430,"(27, 29)",85,80.35714286,5,10,100,1,246
431,"(27, 30)",60,28.57142857,60,60,100,0,15
432,"(28, 29)",100,87.5,95,95,100,0,16
433,"(28, 30)",75,13.39285714,5,10,100,1,247
434,"(29, 30)",75,26.78571429,5,10,100,1,231
